Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181023-77,MQ181023,LIB-BB-Dam-D-20180430,,Dam-D-20180430,Spring,D,mean,Damhusåen-D,2018-04-30,18,2018,,"","","","","","",,,,,,,14.69633263,11.76131743,
MQ181023-78,MQ181023,LIB-BB-Dam-D-20180509,,Dam-D-20180509,Spring,D,mean,Damhusåen-D,2018-05-09,19,2018,,"","","","","","",,,,,,,23.81686522,14.6527966,
MQ181023-79,MQ181023,LIB-BB-Dam-D-20180516,,Dam-D-20180516,Spring,D,mean,Damhusåen-D,2018-05-16,20,2018,,"","","","","","",,,,,,,15.61667835,12.46385651,
MQ181023-80,MQ181023,LIB-BB-Dam-D-20180522,,Dam-D-20180522,Spring,D,mean,Damhusåen-D,2018-05-22,21,2018,,"","","","","","",,,,,,,13.60079421,10.43304419,
MQ181023-81,MQ181023,LIB-BB-Dam-D-20180529,,Dam-D-20180529,Spring,D,mean,Damhusåen-D,2018-05-29,22,2018,,"","","","","","",,,,,,,15.6610605,10.66232945,
MQ181023-82,MQ181023,LIB-BB-Dam-D-20180604,,Dam-D-20180604,Spring,D,mean,Damhusåen-D,2018-06-04,23,2018,,"","","","","","",,,,,,,17.66526512,12.58245234,
MQ181023-83,MQ181023,LIB-BB-Dam-D-20180611,,Dam-D-20180611,Spring,D,mean,Damhusåen-D,2018-06-11,24,2018,,"","","","","","",,,,,,,15.79771082,9.061850547,
MQ181023-84,MQ181023,LIB-BB-Dam-D-20180620,,Dam-D-20180620,Summer,D,mean,Damhusåen-D,2018-06-20,25,2018,,"","","","","","",,,,,,,18.04601729,8.863061354,
MQ181023-85,MQ181023,LIB-BB-Dam-D-20180627,,Dam-D-20180627,Summer,D,mean,Damhusåen-D,2018-06-27,26,2018,,"","","","","","",,,,,,,20.83858911,7.123655914,
MQ181023-86,MQ181023,LIB-BB-Dam-D-20180702,,Dam-D-20180702,Summer,D,mean,Damhusåen-D,2018-07-02,27,2018,,"","","","","","",,,,,,,27.86965662,9.463946869,
MQ181023-87,MQ181023,LIB-BB-Dam-D-20180716,,Dam-D-20180716,Summer,D,mean,Damhusåen-D,2018-07-16,29,2018,,"","","","","","",,,,,,,18.76313945,11.30161742,
MQ181023-88,MQ181023,LIB-BB-Dam-D-20180731,,Dam-D-20180731,Summer,D,mean,Damhusåen-D,2018-07-31,31,2018,,"","","","","","",,,,,,,14.86918944,6.500180717,
MQ181023-89,MQ181023,LIB-BB-Dam-D-20180806,,Dam-D-20180806,Summer,D,mean,Damhusåen-D,2018-08-06,32,2018,,"","","","","","",,,,,,,15.60499883,4.938104274,
MQ181023-90,MQ181023,LIB-BB-Dam-D-20180817,,Dam-D-20180817,Summer,D,mean,Damhusåen-D,2018-08-17,33,2018,,"","","","","","",,,,,,,13.09039944,5.33003524,
MQ181023-91,MQ181023,LIB-BB-Dam-D-20180820,,Dam-D-20180820,Summer,D,mean,Damhusåen-D,2018-08-20,34,2018,,"","","","","","",,,,,,,16.50782527,2.674618234,
MQ181023-92,MQ181023,LIB-BB-Dam-D-20180823,,Dam-D-20180823,Summer,D,mean,Damhusåen-D,2018-08-23,34,2018,,"","","","","","",,,,,,,15.42513431,6.875169423,
MQ181023-93,MQ181023,LIB-BB-Dam-D-20180828,,Dam-D-20180828,Summer,D,mean,Damhusåen-D,2018-08-28,35,2018,,"","","","","","",,,,,,,19.56785798,7.443299901,
MQ181023-94,MQ181023,LIB-BB-Dam-D-20180830,,Dam-D-20180830,Summer,D,mean,Damhusåen-D,2018-08-30,35,2018,,"","","","","","",,,,,,,17.67460874,8.849507545,
MQ181023-95,MQ181023,LIB-BB-Dam-D-20180903,,Dam-D-20180903,Summer,D,mean,Damhusåen-D,2018-09-03,36,2018,,"","","","","","",,,,,,,12.27750526,9.988027469,
MQ181023-96,MQ181023,LIB-BB-Dam-D-20180907,,Dam-D-20180907,Summer,D,mean,Damhusåen-D,2018-09-07,36,2018,,"","","","","","",,,,,,,8.752627891,8.764796241,
