Date	Temperature_C	inflow_m3d	SS_kgm3
09/08/2018	21.96	147892	3.1
10/08/2018	20.64	125818	2.86
11/08/2018	20.33	95602	2.9
12/08/2018	19.64	214654	2.57
13/08/2018	18.28	173573	2.62
14/08/2018	18.88	124893	2.93
15/08/2018	19.61	65288	3.44
16/08/2018	20.32	48266	3.33
17/08/2018	20.54	61115	3.25
18/08/2018	20.52	41454	3.46
19/08/2018	20.52	42748	3.36
20/08/2018	20.55	43777	3.32
21/08/2018	20.5	43123	3.28
22/08/2018	20.7	42726	3.25
23/08/2018	21	41686	3.2
24/08/2018	20.15	119930	2.58
25/08/2018	19.19	116212	2.7
26/08/2018	18.48	46908	3.29
27/08/2018	18.31	195363	2.78
28/08/2018	18.02	60770	3.47
29/08/2018	18.69	56524	3.3
30/08/2018	18.87	214396	2.34
31/08/2018	18.77	67731	3.26
01/09/2018	19.11	45406	3.59
02/09/2018	19.59	45654	3.5
03/09/2018	19.95	45730	3.57
04/09/2018	20.18	44753	3.49
05/09/2018	20.38	45837	3.35
06/09/2018	20.43	45390	3.25
07/09/2018	20.19	50894	3.12
08/09/2018	19.75	42592	3.36
09/09/2018	19.75	43698	3.38
10/09/2018	19.81	43255	3.33
11/09/2018	19.49	71333	3.02
12/09/2018	19.04	49945	3.37
13/09/2018	19.04	42853	3.5
14/09/2018	19.14	43286	3.4
15/09/2018	19.07	48584	3.35
16/09/2018	19.01	43032	3.35
17/09/2018	19.2	42497	3.28
18/09/2018	19.56	39954	3.24
19/09/2018	19.79	41355	3.17
20/09/2018	19.87	40291	3.14
21/09/2018	19.53	58463	2.93
22/09/2018	18.62	58341	3.09
23/09/2018	18.06	44201	3.1
24/09/2018	16.94	124618	2.36
25/09/2018	16.05	46588	3.22
26/09/2018	16.47	44277	3.19
27/09/2018	17.34	46767	3.08
28/09/2018	17.55	44265	3.04
29/09/2018	17.56	44148	3.09
30/09/2018	17.71	46008	3.17
01/10/2018	17.87	44981	3.2
02/10/2018	17.46	65124	3.15
03/10/2018	17.01	65004	3.44
04/10/2018	17.01	48810	3.63
05/10/2018	17.57	48807	3.45
06/10/2018	17.92	97219	3.28
07/10/2018	16.09	100802	2.74
08/10/2018	15.78	45912	3.41
09/10/2018	16.58	44761	3.46
10/10/2018	17.31	44276	3.46
11/10/2018	17.7	44118	3.37
12/10/2018	17.95	41610	3.29
13/10/2018	18.19	39835	3.28
14/10/2018	18.09	38950	3.21
15/10/2018	18.05	41756	3.06
16/10/2018	18.18	53080	3.07
17/10/2018	18.35	43912	3.25
18/10/2018	18.24	42768	3.34
19/10/2018	17.89	41718	3.29
20/10/2018	17.64	42882	3.2
21/10/2018	17.57	44388	3.15
22/10/2018	17.33	90555	2.78
23/10/2018	14.74	164494	2.54
24/10/2018	14.2	83039	2.58
25/10/2018	14.92	52688	3.33
26/10/2018	15.14	85380	3.28
27/10/2018	14.85	58924	3.59
28/10/2018	14.71	61366	3.59
29/10/2018	14.45	67504	3.65
30/10/2018	14.51	90082	3.15
31/10/2018	14.62	55350	3.51
01/11/2018	14.9	46526	3.51
02/11/2018	15.25	43265	3.47
03/11/2018	15.45	42923	3.41
04/11/2018	15.64	42699	3.39
05/11/2018	15.95	44305	3.39
06/11/2018	16.07	43457	3.36
07/11/2018	16.18	42441	3.26
08/11/2018	16.32	42521	3.15
09/11/2018	16.3	41075	3.19
10/11/2018	16.1	43376	3.12
11/11/2018	15.25	133920	2.48
12/11/2018	14.68	153816	2.41
13/11/2018	14.23	60635	3.21
14/11/2018	14.78	46074	3.39
15/11/2018	15.34	42260	3.52
16/11/2018	15.19	43004	3.48
17/11/2018	15.23	43183	3.5
18/11/2018	15.21	43696	3.45
19/11/2018	14.87	42709	3.38
20/11/2018	14.57	45726	3.28
21/11/2018	14.42	42235	3.24
22/11/2018	14.47	41885	3.23
23/11/2018	14.47	40471	3.07
24/11/2018	14.59	41339	2.87
25/11/2018	14.45	42174	2.8
26/11/2018	14.22	42386	2.84
27/11/2018	14.06	42143	2.85
28/11/2018	13.54	42652	2.9
29/11/2018	12.3	178442	1.92
30/11/2018	10.78	48035	2.91
01/12/2018	11.53	44640	3
02/12/2018	12.23	182982	2.31
03/12/2018	11.97	71984	2.84
04/12/2018	12.11	48602	3.02
05/12/2018	12.6	45292	3.18
06/12/2018	13.19	114763	2.49
07/12/2018	13.1	140325	2.34
08/12/2018	12	131360	2.23
09/12/2018	11.97	58376	3.04
10/12/2018	12.43	59299	3.23
11/12/2018	12.89	47331	3.05
12/12/2018	13.04	47073	3.1
13/12/2018	13.12	46166	3.12
14/12/2018	13.14	46238	3.31
15/12/2018	13.31	59231	3.36
16/12/2018	12.98	46288	3.5
17/12/2018	13.16	44343	4.18
18/12/2018	13.74	49360	4.62
19/12/2018	13.2	86512	3.94
20/12/2018	12.6	63460	4.38
21/12/2018	12.48	229622	3.01
22/12/2018	9.69	129199	2.96
23/12/2018	10.24	118963	3.34
24/12/2018	10.36	66001	3.82
25/12/2018	11.32	64320	3.86
26/12/2018	11.65	48035	4.47
27/12/2018	12.35	49990	4.51
28/12/2018	12.74	53134	4.5
29/12/2018	12.75	148216	3.43
30/12/2018	11.56	55924	3.7
31/12/2018	12.11	65011	3.86
01/01/2019	12.18	65048	3.83
02/01/2019	11.03	67364	4.54
03/01/2019	11.35	48536	4.14
04/01/2019	11.98	48666	4.17
05/01/2019	12.39	47447	4.22
06/01/2019	12.67	48233	4.11
07/01/2019	13.06	81230	3.99
08/01/2019	12.15	117340	3.36
09/01/2019	11.31	53933	4
10/01/2019	11.59	50891	4.39
11/01/2019	12.18	51098	4.61
12/01/2019	12.53	72574	4.63
13/01/2019	12.2	107014	4.7
14/01/2019	11.35	60261	4.84
15/01/2019	11.38	123417	4.45
16/01/2019	10.62	125387	4.07
17/01/2019	10.49	125872	3.95
18/01/2019	10.01	62147	5.39
19/01/2019	10.74	59460	5.4
20/01/2019	11.34	57952	5.47
21/01/2019	11.42	105166	4.35
22/01/2019	11	72440	5.16
23/01/2019	11.22	71848	5.24
24/01/2019	11.59	72598	5.87
25/01/2019	11.88	54219	6.07
26/01/2019	11.77	69904	5.59
27/01/2019	9.67	316279	2.81
28/01/2019	8.73	107177	4.39
29/01/2019	9.76	73622	5.14
30/01/2019	10.47	66901	5.28
31/01/2019	10.77	62720	5.03
01/02/2019	11.12	60465	4.94
02/02/2019	11.36	64838	5.09
03/02/2019	11.46	57055	5.09
04/02/2019	11.52	64406	4.83
05/02/2019	11.62	54005	4.5
06/02/2019	11.28	120624	4.01
07/02/2019	10.39	123336	4.54
08/02/2019	10.38	104055	4.9
09/02/2019	9.91	149581	4.38
10/02/2019	10.08	159384	4.3
11/02/2019	9.75	81990	5.65
12/02/2019	10.28	75168	5.63
13/02/2019	11.01	68056	5.85
14/02/2019	11.59	63925	6.12
15/02/2019	11.88	60397	5.26
16/02/2019	12.04	62472	4.94
17/02/2019	12.29	59906	4.83
18/02/2019	12.4	60395	4.78
19/02/2019	12.3	69118	4.63
20/02/2019	12.26	105743	4.16
21/02/2019	11.09	133522	4.06
22/02/2019	10.87	61092	5.42
23/02/2019	11.29	58685	5.59
24/02/2019	11.89	58846	5.62
25/02/2019	12.34	58252	5.57
26/02/2019	12.62	59111	5.49
27/02/2019	12.71	59366	5.48
