Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Bryobacter,"",Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
g__Anaeromyxobacter,"",Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Kouleothrix,Eikelboom type 1851,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,na,na,na,na,na,na,pos,pos,neg,na,neg,na,neg,var,neg,na,neg,pos,na,na,na,na,var,pos,pos,pos,neg,neg,pos,pos,neg,neg
g__Gemmatimonas,"",Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Flavobacterium,"",Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,var,pos,var
g__Desulfobulbus,"",Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Arcobacter,"*Campylobacter nitrofigilis* , *C. cryaerophila*",Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,pos,na,pos,na,pos,neg,var,na,neg
g__Azospira,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,neg,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na
g__Ca_Alysiosphaera,*Candidatus* Halyseosphaera,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,pos,na,pos,na
g__Anaerovorax,"",Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na
