Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
Blastopirellula,"",Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na
Altererythrobacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,pos,na,na,na,na
Methanosarcina,"",Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,neg,na,na,na,pos,na,pos,na,pos,na,na,neg,neg,na,pos
Crocinitomix,"",Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,na,na,var,na,na
Ignavibacterium,"",Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na
Blvii28 wastewater-sludge group,*Acetobacteroides*,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
Sandaracinus,"",Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Pajaroellobacter,"",Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aquamicrobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na,na,na
Luteococcus,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
