Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181116-218,MQ181116,LIB-Fredericia-LT-327,,Fredericia-LT-327,Spring,LT,AS,"",Fredericia,2018-06-07,23,2018,,"","","","","","",,,,,,,33.36882092,5.730384364,,,"",,
MQ181116-219,MQ181116,LIB-Fredericia-LT-329,,Fredericia-LT-329,Spring,LT,AS,"",Fredericia,2018-06-12,24,2018,,"","","","","","",,,,,,,35.55009799,4.338118395,,,"",,
MQ181116-220,MQ181116,LIB-Fredericia-LT-331,,Fredericia-LT-331,Summer,LT,AS,"",Fredericia,2018-06-20,25,2018,,"","","","","","",,,,,,,29.80352779,5.698821659,,,"",,
MQ181116-221,MQ181116,LIB-Fredericia-LT-333,,Fredericia-LT-333,Summer,LT,AS,"",Fredericia,2018-06-27,26,2018,,"","","","","","",,,,,,,31.19238307,6.913401291,,,"",,
MQ181116-222,MQ181116,LIB-Fredericia-LT-335,,Fredericia-LT-335,Summer,LT,AS,"",Fredericia,2018-07-05,27,2018,,"","","","","","",,,,,,,31.23593603,6.450481623,,,"",,
MQ181116-223,MQ181116,LIB-Fredericia-LT-337,,Fredericia-LT-337,Summer,LT,AS,"",Fredericia,2018-07-10,28,2018,,"","","","","","",,,,,,,26.55520337,5.666089965,,,"",,
MQ181116-224,MQ181116,LIB-Fredericia-LT-339,,Fredericia-LT-339,Summer,LT,AS,"",Fredericia,2018-07-24,30,2018,,"","","","","","",,,,,,,30.78225943,8.596745534,,,"",,
MQ181116-225,MQ181116,LIB-Fredericia-LT-341,,Fredericia-LT-341,Summer,LT,AS,"",Fredericia,2018-07-31,31,2018,,"","","","","","",,,,,,,25.89586005,7.099270551,,,"",,
MQ181116-226,MQ181116,LIB-Fredericia-LT-343,,Fredericia-LT-343,Summer,LT,AS,"",Fredericia,2018-08-07,32,2018,,"","","","","","",,,,,,,25.05262649,5.533994202,,,"",,
MQ181116-227,MQ181116,LIB-Fredericia-LT-345,,Fredericia-LT-345,Summer,LT,AS,"",Fredericia,2018-08-16,33,2018,,"","","","","","",,,,,,,34.79880955,7.01393435,,,"",,
MQ181116-228,MQ181116,LIB-Fredericia-LT-347,,Fredericia-LT-347,Summer,LT,AS,"",Fredericia,2018-08-21,34,2018,,"","","","","","",,,,,,,26.5068112,6.752080801,,,"",,
MQ181116-229,MQ181116,LIB-Fredericia-LT-349,,Fredericia-LT-349,Summer,LT,AS,"",Fredericia,2018-08-28,35,2018,,"","","","","","",,,,,,,25.81843258,6.75324979,,,"",,
MQ181116-231,MQ181116,LIB-Fredericia-LT-351,,Fredericia-LT-351,Summer,LT,AS,"",Fredericia,2018-09-04,36,2018,,"","","","","","",,,,,,,,4.578930141,,,"",,
MQ181116-232,MQ181116,LIB-Fredericia-LT-353,,Fredericia-LT-353,Fall,LT,AS,"",Fredericia,2018-09-18,38,2018,,"","","","","","",,,,,,,,10.4,,,"",,
MQ181116-233,MQ181116,LIB-Fredericia-LT-355,,Fredericia-LT-355,Fall,LT,AS,"",Fredericia,2018-09-25,39,2018,,"","","","","","",,,,,,,,4.464369214,,,"",,
MQ181116-234,MQ181116,LIB-Fredericia-LT-357,,Fredericia-LT-357,Fall,LT,AS,"",Fredericia,2018-10-08,41,2018,,"","","","","","",,,,,,,,2.300570467,,,"",,
MQ181116-235,MQ181116,LIB-Fredericia-LT-359,,Fredericia-LT-359,Fall,LT,AS,"",Fredericia,2018-10-16,42,2018,,"","","","","","",,,,,,,,3.578275507,,,"",,
MQ201110-190,MQ201110,LIB-Fredericia-462,,"",Fall,LT,AS,"",Fredericia,2019-10-28,44,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-191,MQ201110,LIB-Fredericia-463,,"",Fall,LT,AS,"",Fredericia,2019-11-05,45,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-192,MQ201110,LIB-Fredericia-465,,"",Fall,LT,AS,"",Fredericia,2019-11-12,46,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-193,MQ201110,LIB-Fredericia-467,,"",Fall,LT,AS,"",Fredericia,2019-11-19,47,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-194,MQ201110,LIB-Fredericia-469,,"",Fall,LT,AS,"",Fredericia,2019-11-26,48,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-195,MQ201110,LIB-Fredericia-471,,"",Fall,LT,AS,"",Fredericia,2019-12-02,49,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-196,MQ201110,LIB-Fredericia-473,,"",Fall,LT,AS,"",Fredericia,2019-12-09,50,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-197,MQ201110,LIB-Fredericia-475,,"",Winter,LT,AS,"",Fredericia,2019-12-17,51,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-198,MQ201110,LIB-Fredericia-477,,"",Winter,LT,AS,"",Fredericia,2019-12-23,52,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201110-199,MQ201110,LIB-Fredericia-479,,"",Winter,LT,AS,"",Fredericia,2020-01-06,2,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-200,MQ201110,LIB-Fredericia-481,,"",Winter,LT,AS,"",Fredericia,2020-01-13,3,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-201,MQ201110,LIB-Fredericia-483,,"",Winter,LT,AS,"",Fredericia,2020-01-22,4,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-202,MQ201110,LIB-Fredericia-485,,"",Winter,LT,AS,"",Fredericia,2020-01-28,5,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-203,MQ201110,LIB-Fredericia-487,,"",Winter,LT,AS,"",Fredericia,2020-02-04,6,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-204,MQ201110,LIB-Fredericia-489,,"",Winter,LT,AS,"",Fredericia,2020-02-10,7,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-205,MQ201110,LIB-Fredericia-491,,"",Winter,LT,AS,"",Fredericia,2020-02-17,8,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-206,MQ201110,LIB-Fredericia-493,,"",Winter,LT,AS,"",Fredericia,2020-02-24,9,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-207,MQ201110,LIB-Fredericia-495,,"",Winter,LT,AS,"",Fredericia,2020-03-03,10,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-208,MQ201110,LIB-Fredericia-497,,"",Spring,LT,AS,"",Fredericia,2020-04-15,16,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-209,MQ201110,LIB-Fredericia-499,,"",Spring,LT,AS,"",Fredericia,2020-04-20,17,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-210,MQ201110,LIB-Fredericia-501,,"",Spring,LT,AS,"",Fredericia,2020-04-27,18,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-211,MQ201110,LIB-Fredericia-503,,"",Spring,LT,AS,"",Fredericia,2020-05-05,19,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-212,MQ201110,LIB-Fredericia-505,,"",Spring,LT,AS,"",Fredericia,2020-05-14,20,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-213,MQ201110,LIB-Fredericia-507,,"",Spring,LT,AS,"",Fredericia,2020-05-18,21,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-214,MQ201110,LIB-Fredericia-509,,"",Spring,LT,AS,"",Fredericia,2020-05-26,22,2020,,"","","","","","",,,,,,,,,,,"",,
MQ201110-215,MQ201110,LIB-Fredericia-511,,"",Spring,LT,AS,"",Fredericia,2020-06-04,23,2020,,"","","","","","",,,,,,,,,,,"",,
