Genus,MiDAS,Filamentous,Hydrophobic cell surface,Chemoautotroph_mixotroph,AOB,NOB,Anammox,Aerobic heterotroph,PAO,GAO,Nitrite reduction,Sulfate reduction,Fermentation,Acetogen,Methanogen,Short-chain fatty acids,Sugars,Proteins_amino acids
midas_g_384,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_385,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Sphingopyxis,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NEG,NT,NEG,NT,NT,POS,POS,POS
midas_g_395,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Stella,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,NEG,POS
Coprothermobacter,POS,NEG,NT,NT,NT,NT,NT,NEG,NT,NT,NT,NEG,POS,VAR,NT,NT,POS,POS
midas_g_410,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Limnohabitans,POS,NEG,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,POS,POS,POS
Propionivibrio,POS,NEG,NT,NT,NT,NT,NT,VAR,NT,POS,NT,NT,VAR,NT,NT,NT,NT,NT
Ca_Sarcinithrix,POS,POS,NEG,NEG,NT,NT,NT,POS,NEG,NEG,NT,NT,POS,NT,NT,NEG,POS,NEG
midas_g_433,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
midas_g_434,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Tabrizicola,POS,NT,NT,POS,NT,NT,NT,POS,NT,NT,VAR,NT,NEG,NT,NT,NT,POS,NT
Piscinibacter,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,POS,POS
Proteiniphilum,POS,VAR,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,POS,NT,NT,POS,POS,POS
p-1088-a5 gut group,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Pirellula,POS,NT,NT,NT,NT,NT,NT,POS,NT,NT,NT,NT,NT,NT,NT,NT,POS,NT
midas_g_467,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ca_Villigracilis,POS,POS,NT,NEG,NT,NT,NT,POS,NT,NT,NT,NT,POS,NT,NT,NEG,POS,NEG
midas_g_473,POS,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
Ottowia,POS,NT,NT,NEG,NT,NT,NT,POS,NT,NT,VAR,NT,NT,NT,NT,POS,NT,POS
