Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ181023-224,MQ181023,LIB-BB-Dam-C-20180413,,Dam-C-20180413,Spring,C,AS,mean,Damhusåen-C,2018-04-13,15,2018,,"","","","","","",,,,,,,19.93507757,17.36971408,,,"",,
MQ181023-225,MQ181023,LIB-BB-Dam-C-20180416,,Dam-C-20180416,Spring,C,AS,mean,Damhusåen-C,2018-04-16,16,2018,,"","","","","","",,,,,,,20.68885863,14.80058544,,,"",,
MQ181023-226,MQ181023,LIB-BB-Dam-C-20180424,,Dam-C-20180424,Spring,C,AS,mean,Damhusåen-C,2018-04-24,17,2018,,"","","","","","",,,,,,,13.00637067,9.680623073,,,"",,
MQ181023-227,MQ181023,LIB-BB-Dam-C-20180430,,Dam-C-20180430,Spring,C,AS,mean,Damhusåen-C,2018-04-30,18,2018,,"","","","","","",,,,,,,15.71511939,6.361402959,,,"",,
MQ181023-228,MQ181023,LIB-BB-Dam-C-20180509,,Dam-C-20180509,Spring,C,AS,mean,Damhusåen-C,2018-05-09,19,2018,,"","","","","","",,,,,,,19.10348685,7.810621504,,,"",,
MQ181023-229,MQ181023,LIB-BB-Dam-C-20180516,,Dam-C-20180516,Spring,C,AS,mean,Damhusåen-C,2018-05-16,20,2018,,"","","","","","",,,,,,,21.43656081,1.990225289,,,"",,
MQ181023-230,MQ181023,LIB-BB-Dam-C-20180522,,Dam-C-20180522,Spring,C,AS,mean,Damhusåen-C,2018-05-22,21,2018,,"","","","","","",,,,,,,13.07810144,9.826982385,,,"",,
MQ181023-231,MQ181023,LIB-BB-Dam-C-20180529,,Dam-C-20180529,Spring,C,AS,mean,Damhusåen-C,2018-05-29,22,2018,,"","","","","","",,,,,,,15.39415455,11.82766191,,,"",,
MQ181023-232,MQ181023,LIB-BB-Dam-C-20180604,,Dam-C-20180604,Spring,C,AS,mean,Damhusåen-C,2018-06-04,23,2018,,"","","","","","",,,,,,,19.95452998,14.6176363,,,"",,
MQ181023-233,MQ181023,LIB-BB-Dam-C-20180611,,Dam-C-20180611,Spring,C,AS,mean,Damhusåen-C,2018-06-11,24,2018,,"","","","","","",,,,,,,24.00792686,11.85641106,,,"",,
MQ181023-234,MQ181023,LIB-BB-Dam-C-20180620,,Dam-C-20180620,Summer,C,AS,mean,Damhusåen-C,2018-06-20,25,2018,,"","","","","","",,,,,,,24.03832126,9.849197637,,,"",,
MQ181023-235,MQ181023,LIB-BB-Dam-C-20180627,,Dam-C-20180627,Summer,C,AS,mean,Damhusåen-C,2018-06-27,26,2018,,"","","","","","",,,,,,,16.08228371,8.487533323,,,"",,
MQ181023-236,MQ181023,LIB-BB-Dam-C-20180702,,Dam-C-20180702,Summer,C,AS,mean,Damhusåen-C,2018-07-02,27,2018,,"","","","","","",,,,,,,14.47138064,11.7832314,,,"",,
