																																					
	"Rapportperiode: 01-01-2016  -  01-05-2017
"																																				
											Ejby Mølle Renseanlæg																										
																																					
																																					
																																					
			Tilløb Renseanlæg												Tilløb Regntank				Afløb Regntank							Afløb		Afløb Renseanlæg									
			Flow		Max	Min		Bund-fald	COD ToT	NH4+		NO3+ NO2		PO4					Regn	Afløb		NH4+ NH3	NO3+ NO2	PO4- P	COD ToT	MKT		Flow	Max Time	Temp		Ilt	Bund-fald	NH4+ NH3	NO3+ NO2	PO4	Jern
Dato			m³		m³	m³		ml/l	mg/l	mg/l		mg/l		mg/l	m³				mm	m³		mg/l	mg/l	mg/l	mg/l	m³		m³	m³	°C		%	ml/l	mg/l	mg/l	mg/l	mg/l
14 jul  tor			57,600		6,600	1,100									1300				3.8	0						0		55,100	6,300	15.8		77		0.577	1.41		
15 jul  fre			35,600		1,800	1,000									0				0.0	0						0		33,900	1,800	15.6		85		0.003	0.49		
16 jul  lør			35,700		2,200	1,000									0				1.0	0						0		34,100	2,100	15.5		87		0.008	0.73		
17 jul  søn			35,200		2,000	900									0				0.4	0						0		33,400	2,100	15.3		88		0.068	1.08		
18 jul  man			34,800		1,700	1,000									0				0.0	0		0.08	1.14	0.10	20	0		32,600	1,700	15.1		87		0.020	1.29	0.110	0.020
19 jul  tir			33,900		1,700	1,000									0				0.0	0						0		31,800	1,600	15.1		86		0.035	0.67		
20 jul  ons			33,800		1,700	900									0				0.0	0						0		31,500	1,600	15.6		86		0.132	0.61		
21 jul  tor			30,500		1,600	900									0				0.0	0						0		30,100	1,600	16.4		85		0.133	0.61		
22 jul  fre			29,600		1,600	800									0				0.0	0						0		29,800	1,600	16.6		83		0.050	0.65		
23 jul  lør			27,900		1,600	800									0				0.0	0						0		27,700	1,500	16.9		83		0.151	0.68		
24 jul  søn			28,200		1,400	800									0				0.0	0						0		29,200	1,500	16.9		82		0.134	0.84		
25 jul  man			40,000		3,500	900									0				0.8	0						0		36,800	3,300	16.9		82		0.309	2.77		
26 jul  tir			29,500		1,600	800									0				0.0	0						0		29,600	1,600	16.9		86		0.217	1.41		
27 jul  ons			32,900		1,900	1,000									0				1.0	0						0		31,900	1,700	17.0		87		0.205	0.66		
28 jul  tor			30,000		1,600	800									0				0.2	0						0		30,000	1,600	16.8		83		0.198	0.61		
29 jul  fre			88,600		6,800	800									7500				21.6	0						0		81,700	6,400	16.6		79		0.837	2.87		
30 jul  lør			66,900		6,600	1,100									600				6.6	0						0		62,500	6,000	16.3		81		0.368	3.09		
31 jul  søn			30,100		1,600	800									0				0.2	0						0		30,000	1,600	16.1		86		0.138	0.85		
01 aug  man			46,700		5,900	1,000									200				2.8	0						0		44,800	5,900	15.9		81		0.647	4.98		
02 aug  tir			34,000		2,300	900									0				0.2	0						0		33,000	2,300	15.9		85		0.191	5.88		
