Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ190702-162,MQ190702,LIB-Aalborg-W-LT-639,25881.0,,pre-S::Select,,Aalborg W,2018-11-16,2018,,,,,,,,,,,,,,,
MQ190702-163,MQ190702,LIB-Aalborg-W-LT-641,25327.0,,pre-S::Select,,Aalborg W,2018-11-20,2018,,,,,,,,,,,,,,,
MQ190702-164,MQ190702,LIB-Aalborg-W-LT-643,38266.0,,pre-S::Select,,Aalborg W,2018-11-23,2018,,,,,,,,,,,,,,,
MQ190702-165,MQ190702,LIB-Aalborg-W-LT-645,40982.0,,pre-S::Select,,Aalborg W,2018-11-27,2018,,,,,,,,,,,,,,,
MQ190702-166,MQ190702,LIB-Aalborg-W-LT-647,32177.0,,pre-S::Select,,Aalborg W,2018-11-30,2018,,,,,,,,,,,,,,,
MQ190702-167,MQ190702,LIB-Aalborg-W-LT-649,34946.0,,pre-S::Select,,Aalborg W,2018-12-03,2018,,,,,,,,,,,,,,,
MQ190702-168,MQ190702,LIB-Aalborg-W-LT-651,60108.0,,pre-S::Select,,Aalborg W,2018-12-06,2018,,,,,,,,,,,,,,,
MQ190702-169,MQ190702,LIB-Aalborg-W-LT-653,60650.0,,pre-S::Select,,Aalborg W,2018-12-11,2018,,,,,,,,,,,,,,,
MQ190702-170,MQ190702,LIB-Aalborg-W-LT-655,46694.0,,pre-S::Select,,Aalborg W,2018-12-13,2018,,,,,,,,,,,,,,,
MQ190702-171,MQ190702,LIB-Aalborg-W-LT-657,51618.0,,pre-S::Select,,Aalborg W,2018-12-18,2018,,,,,,,,,,,,,,,
